,Year,Quarter,LGA,Sex,Age_Gr,TB_Cases
545,2022,1,Zaria,Female,15-24,54
546,2022,2,Zaria,Male,15-24,57
547,2022,2,Zaria,Female,15-24,38
548,2022,3,Zaria,Male,15-24,38
549,2022,3,Zaria,Female,15-24,45
550,2022,4,Zaria,Male,15-24,123
551,2022,4,Zaria,Female,15-24,104
552,2022,1,Birni – Gwari,Male,25-34,16
553,2022,1,Birni – Gwari,Female,25-34,14
554,2022,2,Birni – Gwari,Male,25-34,13
555,2022,2,Birni – Gwari,Female,25-34,6
556,2022,3,Birni – Gwari,Male,25-34,8
557,2022,3,Birni – Gwari,Female,25-34,7
558,2022,4,Birni – Gwari,Male,25-34,7
559,2022,4,Birni – Gwari,Female,25-34,14
560,2022,1,Chikun,Male,25-34,25
561,2022,1,Chikun,Female,25-34,18
562,2022,2,Chikun,Male,25-34,43
563,2022,2,Chikun,Female,25-34,19
564,2022,3,Chikun,Male,25-34,75
565,2022,3,Chikun,Female,25-34,35
566,2022,4,Chikun,Male,25-34,95
567,2022,4,Chikun,Female,25-34,54
568,2022,1,Giwa,Male,25-34,144
569,2022,1,Giwa,Female,25-34,110
570,2022,2,Giwa,Male,25-34,133
571,2022,2,Giwa,Female,25-34,87
572,2022,3,Giwa,Male,25-34,88
573,2022,3,Giwa,Female,25-34,105
574,2022,4,Giwa,Male,25-34,80
575,2022,4,Giwa,Female,25-34,77
576,2022,1,Igabi,Male,25-34,23
577,2022,1,Igabi,Female,25-34,13
578,2022,2,Igabi,Male,25-34,32
579,2022,2,Igabi,Female,25-34,18
580,2022,3,Igabi,Male,25-34,35
581,2022,3,Igabi,Female,25-34,30
582,2022,4,Igabi,Male,25-34,34
583,2022,4,Igabi,Female,25-34,25
584,2022,1,Ikara,Male,25-34,4
585,2022,1,Ikara,Female,25-34,10
586,2022,2,Ikara,Male,25-34,7
587,2022,2,Ikara,Female,25-34,5
588,2022,3,Ikara,Male,25-34,7
589,2022,3,Ikara,Female,25-34,6
590,2022,4,Ikara,Male,25-34,7
591,2022,4,Ikara,Female,25-34,6
592,2022,1,Jaba,Male,25-34,6
593,2022,1,Jaba,Female,25-34,2
594,2022,2,Jaba,Male,25-34,4
595,2022,2,Jaba,Female,25-34,2
596,2022,3,Jaba,Male,25-34,9
597,2022,3,Jaba,Female,25-34,4
598,2022,4,Jaba,Male,25-34,13
599,2022,4,Jaba,Female,25-34,4
600,2022,1,Jema'a,Male,25-34,20
601,2022,1,Jema'a,Female,25-34,13
602,2022,2,Jema'a,Male,25-34,25
603,2022,2,Jema'a,Female,25-34,24
604,2022,3,Jema'a,Male,25-34,33
605,2022,3,Jema'a,Female,25-34,31
606,2022,4,Jema'a,Male,25-34,66
607,2022,4,Jema'a,Female,25-34,42
608,2022,1,Kachia,Male,25-34,30
609,2022,1,Kachia,Female,25-34,43
610,2022,2,Kachia,Male,25-34,38
611,2022,2,Kachia,Female,25-34,10
612,2022,3,Kachia,Male,25-34,49
613,2022,3,Kachia,Female,25-34,71
614,2022,4,Kachia,Male,25-34,36
615,2022,4,Kachia,Female,25-34,40
616,2022,1,Kaduna North,Male,25-34,119
617,2022,1,Kaduna North,Female,25-34,107
618,2022,2,Kaduna North,Male,25-34,126
619,2022,2,Kaduna North,Female,25-34,121
620,2022,3,Kaduna North,Male,25-34,119
621,2022,3,Kaduna North,Female,25-34,99
622,2022,4,Kaduna North,Male,25-34,197
623,2022,4,Kaduna North,Female,25-34,153
624,2022,1,Kaduna South,Male,25-34,50
625,2022,1,Kaduna South,Female,25-34,28
626,2022,2,Kaduna South,Male,25-34,56
627,2022,2,Kaduna South,Female,25-34,23
628,2022,3,Kaduna South,Male,25-34,59
629,2022,3,Kaduna South,Female,25-34,27
630,2022,4,Kaduna South,Male,25-34,82
631,2022,4,Kaduna South,Female,25-34,59
632,2022,1,Kagarko,Male,25-34,2
633,2022,1,Kagarko,Female,25-34,2
